ID,ConvID,Context,Disclosure Type,Has Parent Tweet,Has Cards,Date,Language,Permalink,is part of conversation?,Author ID,Author Name,is Author verified,Text,Replies,Retweets,Favorites,Mentions,is Reply?,is Retweet?,Reply to User ID,Reply To User Name,Quoted Tweet ID, Quoted Tweet Conv. ID,Quoted Tweet Type,Quoted Tweets User ID,Quoted Tweet User
1196916558636994571,1196916558636994571,tweet,,False,True,19.11.2019 22:21:59,en,/npquarterly/status/1196916558636994571,False,61206610,Nonprofit Quarterly,True, Connecticut is gouging its social service #nonprofits; cutting funds of nonprofits once again! Why does this keep happening? http://bit.ly/37lTUSD&nbsp; @CTNPAlliance,0,0,0,CTNPAlliance,False,True,4825748724,CTNPAlliance,,,,,
1196916423437635584,1196586617118449664,tweet,,True,False,19.11.2019 22:21:27,en,/mcspocky/status/1196916423437635584,True,18082945,McSpocky™ 👽🌊,True, Everything worked out ok for us thankfully.,0,0,1,BYourself9,True,True,1013976502965293058,BYourself9,,,,,
1196916187285770240,1196586617118449664,tweet,,True,False,19.11.2019 22:20:31,en,/mcspocky/status/1196916187285770240,True,18082945,McSpocky™ 👽🌊,True, She&#39;s doing pretty well. the pt is to help with balance and endurance that were affected from the chemo &amp; radiation. It&#39;s not really bad; but was bad enough to be frustrating.,1,0,1,JackieHeg,True,True,453290161,JackieHeg,,,,,
1196916126028124160,1196841074318286848,tweet,,True,False,19.11.2019 22:20:16,en,/docrocktex26/status/1196916126028124160,True,16582131,Propane Jane™,True, I do too. It’s overkill.,0,0,1,TheRoops,True,True,46269918,TheRoops,,,,,
1196916057694490624,1196916057694490624,tweet,,False,True,19.11.2019 22:20:00,en,/ArkansasOnline/status/1196916057694490624,False,25354366,AR Democrat-Gazette,True, The Hunt donation is the second $5 million donation made toward the construction of the $27 million baseball facility; set to open in the spring of 2021. More on the project:https://www.arkansasonline.com/news/2019/nov/19/hunts-donate-5-million-toward-razorback-baseball-f/&nbsp;… #adgknowsports,1,0,0,,False,True,,,,,,,
1196915838097358848,1196586617118449664,tweet,,True,False,19.11.2019 22:19:08,en,/mcspocky/status/1196915838097358848,True,18082945,McSpocky™ 👽🌊,True, Hope you got your money back ok!,1,0,0,SticeLillian1,True,True,1060715447241359360,SticeLillian1,,,,,
1196915324337016833,1196586617118449664,tweet,,True,False,19.11.2019 22:17:05,en,/mcspocky/status/1196915324337016833,True,18082945,McSpocky™ 👽🌊,True, It&#39;s frightening when you check the balance on your account and it drops down like that. Hope you were able to get your account fixed ok!My wife continues to improve; thanks!,0,0,2,dit657,True,True,258857337,dit657,,,,,
1196915179247882243,1196841074318286848,tweet,,True,False,19.11.2019 22:16:30,en,/docrocktex26/status/1196915179247882243,True,16582131,Propane Jane™,True, 5 hours into this thread and it’s fascinating how the majority of the “top 3” responses are not at all in step with the narrative or who the polls say are the front runners based on IA/NH/SC polling... ,8,9,73,,True,True,,,,,,,
1196914204080582658,1196914204080582658,tweet,,False,False,19.11.2019 22:12:38,en,/kharyp/status/1196914204080582658,False,53503202,Khary Penebaker, Fx,True, Sunset for November 19; 2019 at 04:25PM! In case you missed it. It is a reminder that there is beauty still in this world; among all of the ugliness. “I don’t think of all the misery; but of all the beauty that still remains.” @AnneFrankCenter,0,2,23,AnneFrankCenter,False,True,66409312,AnneFrankCenter,,,,,
1196913677170950144,1196785146218893313,tweet,,True,False,19.11.2019 22:10:32,en,/People4Bernie/status/1196913677170950144,True,3141672447,People for Bernie,True, Great work on this and the other episodes!,0,0,4,steinertevoy thenation BernieSanders,True,True,216776631,BernieSanders,,,,,
1196913464180191238,1196912864344379398,tweet,,True,True,19.11.2019 22:09:42,en,/docrocktex26/status/1196913464180191238,True,16582131,Propane Jane™,True,  Girl I can’t wait to try it; I was meh on the Popeyes v. Chicfila wars but now that HTown has a contender I’m in the game! So far a friend who’s had it says it’s the bomb.pic.twitter.com/cnMb87mw4e,1,0,0,NegraYLibre,True,True,2608576512,NegraYLibre,,,,,
1196911566878380033,1196911566878380033,tweet,,False,True,19.11.2019 22:02:09,en,/npquarterly/status/1196911566878380033,False,61206610,Nonprofit Quarterly,True, Chick-fil-A says it will stop making donations to anti-LGBTQ groups. Of course; we’ve heard similar pronouncements from the firm before...Is it for real this time?http://bit.ly/2qrLGHS&nbsp;,0,1,0,,False,True,,,,,,,
